subject,task,run_count,status_run_count,status_available,summary_source_run,disagreement_found,bad_channel_count,bad_channels
sub-NDARAA306NT2,DespicableMe,1,0,false,,false,,
sub-NDARAA306NT2,DiaryOfAWimpyKid,1,0,false,,false,,
sub-NDARAA306NT2,FunwithFractals,1,0,false,,false,,
sub-NDARAA306NT2,ThePresent,1,0,false,,false,,
sub-NDARAA306NT2,allTasks,7,7,true,3,false,14,E10;E55;E62;E72;E75;E76;E77;E79;E80;E107;E112;E124;E127;Cz
sub-NDARAA306NT2,contrastChangeDetection,3,0,false,,false,,
sub-NDARAA306NT2,freeView,3,3,true,3,false,15,E10;E55;E56;E62;E72;E75;E76;E77;E79;E80;E107;E112;E126;E127;Cz
sub-NDARAA306NT2,surroundSupp,1,0,false,,false,,
sub-NDARAA396TWZ,DespicableMe,1,0,false,,false,,
sub-NDARAA396TWZ,DiaryOfAWimpyKid,1,0,false,,false,,
sub-NDARAA396TWZ,FunwithFractals,1,0,false,,false,,
sub-NDARAA396TWZ,RestingState,1,0,false,,false,,
sub-NDARAA504CRN,DespicableMe,1,0,false,,false,,
sub-NDARAA504CRN,DiaryOfAWimpyKid,1,0,false,,false,,
sub-NDARAA504CRN,FunwithFractals,1,0,false,,false,,
sub-NDARAA504CRN,ThePresent,1,0,false,,false,,
sub-NDARAA504CRN,allTasks,4,4,true,3,false,23,E6;E7;E10;E48;E55;E62;E68;E71;E72;E75;E76;E77;E78;E79;E80;E81;E82;E83;E88;E106;E107;E119;Cz
sub-NDARAA504CRN,contrastChangeDetection,2,0,false,,false,,
sub-NDARAA504CRN,freeView,2,2,true,3,false,20,E6;E10;E48;E55;E62;E75;E77;E78;E79;E80;E82;E88;E89;E106;E107;E114;E119;E126;E127;Cz
sub-NDARAA773LUW,DiaryOfAWimpyKid,1,0,false,,false,,
sub-NDARAA773LUW,RestingState,1,0,false,,false,,
sub-NDARAA773LUW,contrastChangeDetection,1,0,false,,false,,
sub-NDARAA773LUW,surroundSupp,1,0,false,,false,,
sub-NDARAA947ZG5,RestingState,1,0,false,,false,,
sub-NDARAA947ZG5,allTasks,3,3,true,1,false,26,E5;E6;E8;E40;E43;E44;E48;E49;E52;E54;E55;E56;E62;E67;E78;E79;E80;E105;E106;E112;E113;E119;E126;E127;E128;Cz
sub-NDARAA947ZG5,freeView,1,1,true,1,false,37,E1;E5;E6;E7;E8;E30;E37;E40;E43;E44;E48;E49;E52;E54;E55;E56;E62;E67;E68;E72;E78;E79;E80;E87;E105;E106;E107;E112;E113;E114;E119;E120;E122;E126;E127;E128;Cz
sub-NDARAA947ZG5,seqLearning8target,1,0,false,,false,,
sub-NDARAA947ZG5,symbolSearch,1,0,false,,false,,
sub-NDARAA948VFH,DespicableMe,1,0,false,,false,,
sub-NDARAA948VFH,DiaryOfAWimpyKid,1,0,false,,false,,
sub-NDARAA948VFH,FunwithFractals,1,0,false,,false,,
sub-NDARAA948VFH,RestingState,1,0,false,,false,,
sub-NDARAA948VFH,ThePresent,1,0,false,,false,,
sub-NDARAA948VFH,allTasks,10,10,true,1,false,16,E7;E15;E25;E31;E48;E55;E62;E67;E72;E75;E76;E77;E78;E80;E113;Cz
sub-NDARAA948VFH,contrastChangeDetection,3,0,false,,false,,
sub-NDARAA948VFH,freeView,3,3,true,1,false,16,E7;E15;E25;E31;E48;E55;E62;E67;E72;E75;E76;E77;E78;E80;E113;Cz
sub-NDARAA948VFH,seqLearning6target,1,0,false,,false,,
sub-NDARAA948VFH,surroundSupp,2,0,false,,false,,
sub-NDARAA948VFH,symbolSearch,1,0,false,,false,,
sub-NDARAB055BPR,DespicableMe,1,0,false,,false,,
sub-NDARAB055BPR,DiaryOfAWimpyKid,1,0,false,,false,,
sub-NDARAB055BPR,FunwithFractals,1,0,false,,false,,
sub-NDARAB055BPR,RestingState,1,0,false,,false,,
sub-NDARAB055BPR,ThePresent,1,0,false,,false,,
sub-NDARAB055BPR,allTasks,11,11,true,2,false,33,E33;E34;E35;E36;E37;E38;E39;E40;E41;E42;E43;E44;E45;E46;E47;E48;E49;E50;E51;E52;E53;E54;E55;E56;E57;E58;E59;E60;E61;E62;E63;E64;Cz
sub-NDARAB055BPR,contrastChangeDetection,3,0,false,,false,,
sub-NDARAB055BPR,freeView,4,4,true,2,false,33,E33;E34;E35;E36;E37;E38;E39;E40;E41;E42;E43;E44;E45;E46;E47;E48;E49;E50;E51;E52;E53;E54;E55;E56;E57;E58;E59;E60;E61;E62;E63;E64;Cz
sub-NDARAB055BPR,seqLearning8target,1,0,false,,false,,
sub-NDARAB055BPR,surroundSupp,2,0,false,,false,,
sub-NDARAB348EWR,DespicableMe,1,0,false,,false,,
sub-NDARAB348EWR,DiaryOfAWimpyKid,1,0,false,,false,,
sub-NDARAB348EWR,FunwithFractals,1,0,false,,false,,
sub-NDARAB348EWR,RestingState,1,0,false,,false,,
sub-NDARAB348EWR,ThePresent,1,0,false,,false,,
sub-NDARAB348EWR,allTasks,11,11,true,1,false,22,E8;E11;E17;E20;E29;E30;E38;E48;E49;E56;E61;E62;E67;E68;E79;E94;E99;E107;E113;E114;E119;Cz
sub-NDARAB348EWR,contrastChangeDetection,3,0,false,,false,,
