subject,has_txt,has_tsv,has_mat
?NDARZH011UL,false,false,false
NDARAA075AMK,true,false,false
NDARAA112DMH,false,false,false
NDARAA117NEJ,true,false,false
NDARAA306NT2,true,false,false
NDARAA396TWZ,false,false,false
NDARAA504CRN,true,false,false
NDARAA773LUW,false,true,false
NDARAA947ZG5,true,false,false
NDARAA948VFH,true,false,false
NDARAB055BPR,true,false,false
NDARAB282FDJ,true,false,false
NDARAB348EWR,true,false,false
NDARAB458VK9,true,false,false
NDARAB514MAJ,true,false,false
NDARAB674LNB,true,false,false
NDARAB678VYW,true,false,false
NDARAB683CYD,false,true,false
NDARAB708LM5,true,false,false
NDARAB756JDJ,true,false,false
NDARAB793GL3,true,false,false
NDARAB977GFB,true,false,false
NDARAC296UCB,false,true,false
NDARAC349YUC,true,false,false
NDARAC350BZ0,true,false,false
NDARAC350XUM,true,false,false
NDARAC462DZH,true,false,false
NDARAC495TJ2,true,false,false
NDARAC589YMB,true,false,false
NDARAC611UXE,true,false,false
NDARAC688ZM5,false,false,false
NDARAC853CR6,true,false,false
NDARAC853DTE,true,false,false
NDARAC857HDB,true,false,false
NDARAC904DMU,true,false,false
NDARAC923GPW,false,false,false
NDARAC973ENV,true,false,false
NDARAD224CRB,true,false,false
NDARAD232HVV,true,false,false
NDARAD256AHU,false,false,false
NDARAD269FZD,true,false,false
NDARAD459XJK,false,true,false
NDARAD481FXF,true,false,false
NDARAD571FLB,true,false,false
NDARAD615WLJ,true,false,false
NDARAD653RYE,false,false,false
NDARAD703XA2,true,false,false
NDARAD774HAZ,true,false,false
NDARAE006ZG4,false,true,false
NDARAE012DGA,true,false,false
NDARAE199TDD,true,false,false
NDARAE301XTM,true,false,false
NDARAE540FCG,false,false,false
NDARAE710YWG,false,false,false
NDARAE828CML,true,false,false
NDARAE839XXL,false,false,false
NDARAE854KGZ,false,false,false
NDARAE866UVF,true,false,false
NDARAE877NER,true,false,false
NDARAEZ493ZJ,true,false,false
NDARAF003VCL,true,false,false
NDARAF440XWG,true,false,false
NDARAF535XK6,true,false,false
NDARAF628ND6,false,false,false
NDARAG143ARJ,true,false,false
NDARAG191AE8,true,false,false
NDARAG340ERT,true,false,false
NDARAG429CGW,true,false,false
NDARAG584XLU,true,false,false
NDARAG610XL4,true,false,false
NDARAG644KE3,true,false,false
NDARAG788YV9,true,false,false
NDARAG995VT8,false,true,false
NDARAH129BMC,false,false,false
NDARAH239PGG,true,false,false
NDARAH304ED7,true,false,false
NDARAH348NH9,false,true,false
NDARAH490CYG,false,false,false
NDARAH503YG1,true,false,false
NDARAH793FBF,true,false,false
NDARAH948UF0,true,false,false
NDARAH976BND,true,false,false
NDARAJ182PTB,true,false,false
NDARAJ215ZRZ,true,false,false
NDARAJ366ZFA,true,false,false
NDARAJ401AX3,false,true,false
NDARAJ674WJT,false,true,false
NDARAJ689BVN,true,false,false
NDARAJ768CF0,true,false,false
NDARAJ807UYR,true,false,false
NDARAJ843TFH,false,true,false
NDARAJ977PRJ,true,false,false
NDARAK187ZLP,true,false,false
NDARAK476AMM,false,true,false
NDARAK599AXZ,false,true,false
NDARAK653RYE,true,false,false
NDARAK738BGC,true,false,false
NDARAK770XEW,false,false,false
NDARAK772VFJ,false,true,false
NDARAL235YCN,false,true,false
NDARAL606CW5,false,false,false
NDARAL828WXM,true,false,false
NDARAL897CYV,true,false,false
NDARAM048AFP,true,false,false
NDARAM177DKJ,false,true,false
NDARAM197GFY,true,false,false
NDARAM277WZT,true,false,false
NDARAM357BUA,true,false,false
NDARAM487XU3,true,false,false
NDARAM675UR8,true,false,false
NDARAM696ETT,false,true,false
NDARAM704GKZ,true,false,false
NDARAM848GTE,true,false,false
NDARAM873GAC,true,false,false
NDARAM946HJE,true,false,false
NDARAN076TPG,true,false,false
NDARAN160GUF,true,false,false
NDARAN229MTX,false,false,false
NDARAN262WK6,true,false,false
NDARAN302EEM,false,true,false
NDARAN385MDH,true,false,false
NDARAN461TGQ,true,false,false
NDARAN524ZK6,true,false,false
NDARAN525BVK,false,true,false
NDARAN814UPR,false,false,false
NDARAN934AZL,true,false,false
NDARAP049KXJ,true,false,false
NDARAP120HTA,true,false,false
NDARAP176AD1,true,false,false
NDARAP235CFG,true,false,false
