subject,status,error,fif_path,report_path,metrics_path,report_exists,report_opened,report_has_run1_sync_figure,report_error,metrics_json_present,eeg_regex,et_regex,eeg_sync_label_counts,et_sync_label_counts,sfreq_hz,shared_events_from_annotations,shared_events_from_metrics_json,shared_event_count_matches_metrics_json,first_raw_onset_s,last_raw_onset_s,event_span_s,all_fit_slope,all_fit_intercept,all_mean_abs_residual_ms,all_median_abs_residual_ms,all_max_abs_residual_ms,all_rmse_residual_ms,all_within_1_sample,all_within_4_samples,first_last_fit_slope,first_last_fit_intercept,first_last_mean_abs_residual_ms,first_last_median_abs_residual_ms,first_last_max_abs_residual_ms,first_last_rmse_residual_ms,first_last_within_1_sample,first_last_within_4_samples,delta_mean_abs_residual_ms,delta_median_abs_residual_ms,delta_max_abs_residual_ms,delta_rmse_residual_ms,mean_abs_line_diff_ms,max_abs_line_diff_ms,metrics_mean_abs_sync_error_ms,metrics_median_abs_sync_error_ms,metrics_regression_slope,metrics_within_1_sample,metrics_within_4_samples
sub-NDARAB348EWR,ok,,/data/work/st156392/mergedDataset/derivatives/sub-NDARAB348EWR/eeg/sub-NDARAB348EWR_task-freeView_run-1_proc-eyelink_raw.fif,/data/work/st156392/mergedDataset/derivatives/sub-NDARAB348EWR/eeg/sub-NDARAB348EWR_task-freeView_report.h5,/data/work/st156392/mergedDataset/derivatives/sub-NDARAB348EWR/misc/sub-NDARAB348EWR_task-freeView_run-1_proc-eyelink_metrics.json,True,False,False,ValueError: The loaded report has no attribute verbose,True,(?:trialResponse|newPage),# Message: (?:14|20),newPage:2;trialResponse:5,ET_# Message: 14:5;ET_# Message: 20:2,500.0,7,7,True,243.776001,364.369995,120.59399400000001,1.000000027694743,0.00033994656568977116,2.194636269812073,2.274962300930383,4.139302120591992,2.411207363023448,3,7,0.9999845680540275,0.00824793807680635,3.0934574506237107,3.751329828503458,6.219243592113344,3.984555841087167,3,7,0.8988211808116375,1.4763675275730748,2.0799414715213516,1.573348478063719,3.093457450481602,4.139302120591992,2.19844625784,2.2699010939390973,0.9999999971759393,3,7
sub-NDARAC589YMB,ok,,/data/work/st156392/mergedDataset/derivatives/sub-NDARAC589YMB/eeg/sub-NDARAC589YMB_task-freeView_run-1_proc-eyelink_raw.fif,/data/work/st156392/mergedDataset/derivatives/sub-NDARAC589YMB/eeg/sub-NDARAC589YMB_task-freeView_report.h5,/data/work/st156392/mergedDataset/derivatives/sub-NDARAC589YMB/misc/sub-NDARAC589YMB_task-freeView_run-1_proc-eyelink_metrics.json,True,False,False,ValueError: The loaded report has no attribute verbose,True,(?:trialResponse|newPage),# Message: (?:14|20),newPage:2;trialResponse:14,ET_# Message: 14:14;ET_# Message: 20:2,500.0,16,16,True,31.08,153.414001,122.33400100000001,0.9999999907196746,-0.00010644454994454116,2.8365504891394444,1.7773594720367214,16.406732982460426,4.76192064274682,9,15,0.9998934556223661,0.019611399256863393,9.036581596534976,8.191192718690843,21.39744172264102,11.149437649485513,2,8,6.200031107395532,6.4138332466541215,4.990708740180594,6.387517006738693,9.036581596543414,16.406732982460426,2.837619575852157,1.7753824824993103,0.9999999871127673,9,15
sub-NDARAD224CRB,ok,,/data/work/st156392/mergedDataset/derivatives/sub-NDARAD224CRB/eeg/sub-NDARAD224CRB_task-freeView_run-1_proc-eyelink_raw.fif,/data/work/st156392/mergedDataset/derivatives/sub-NDARAD224CRB/eeg/sub-NDARAD224CRB_task-freeView_report.h5,/data/work/st156392/mergedDataset/derivatives/sub-NDARAD224CRB/misc/sub-NDARAD224CRB_task-freeView_run-1_proc-eyelink_metrics.json,True,False,False,ValueError: The loaded report has no attribute verbose,True,(?:trialResponse|newPage),# Message: (?:14|20),newPage:3;trialResponse:16,ET_# Message: 14:16;ET_# Message: 20:3,500.0,19,19,True,130.408005,285.859985,155.45198,0.9999999528626189,-0.0008895565975711796,1.4015708929931454,1.1279121421239324,3.4798640070050624,1.7598287820405385,13,19,0.999978996729408,0.0051499946163744426,2.0276117957663295,1.7134875351700884,4.741016502691764,2.531396482575755,11,19,0.6260409027731841,0.585575393046156,1.2611524956867015,0.7715677005352164,1.5838582048493328,3.3067036893896784,1.401545388227688,1.1214306284159647,0.9999999983071705,13,19
sub-NDARAD571FLB,ok,,/data/work/st156392/mergedDataset/derivatives/sub-NDARAD571FLB/eeg/sub-NDARAD571FLB_task-freeView_run-1_proc-eyelink_raw.fif,/data/work/st156392/mergedDataset/derivatives/sub-NDARAD571FLB/eeg/sub-NDARAD571FLB_task-freeView_report.h5,/data/work/st156392/mergedDataset/derivatives/sub-NDARAD571FLB/misc/sub-NDARAD571FLB_task-freeView_run-1_proc-eyelink_metrics.json,True,False,False,ValueError: The loaded report has no attribute verbose,True,(?:trialResponse|newPage),# Message: (?:14|20),newPage:2;trialResponse:8,ET_# Message: 14:8;ET_# Message: 20:2,500.0,10,10,True,65.061996,186.117996,121.05600000000001,0.9999999752428496,0.0005471827643627106,1.4158653311454827,0.9325937203428225,4.345427985256833,1.886498775774579,8,10,0.9999790097145124,0.006256669870438714,3.0141714084976456,3.3892285779302256,7.033413554836443,3.67184580872199,3,10,1.598306077352163,2.456634857587403,2.6879855695796095,1.785347032947411,3.014171408486277,4.345427985256833,1.4162333195258725,0.9326245603631378,0.9999999981349972,8,10
sub-NDARAD615WLJ,ok,,/data/work/st156392/mergedDataset/derivatives/sub-NDARAD615WLJ/eeg/sub-NDARAD615WLJ_task-freeView_run-1_proc-eyelink_raw.fif,/data/work/st156392/mergedDataset/derivatives/sub-NDARAD615WLJ/eeg/sub-NDARAD615WLJ_task-freeView_report.h5,/data/work/st156392/mergedDataset/derivatives/sub-NDARAD615WLJ/misc/sub-NDARAD615WLJ_task-freeView_run-1_proc-eyelink_metrics.json,True,False,False,ValueError: The loaded report has no attribute verbose,True,(?:trialResponse|newPage),# Message: (?:14|20),newPage:4;trialResponse:31,ET_# Message: 14:31;ET_# Message: 20:4,500.0,35,35,True,35.700001,156.070007,120.370006,0.9999999941513058,-0.0002489292315717561,1.2409634372663245,0.8286491941333907,6.2801380299646326,1.780943582861009,28,35,0.9999793054758176,0.006769794534008611,4.848136497355426,5.135722136571985,8.600078011397727,5.202791856397922,2,34,3.607173060089102,4.3070729424385945,2.3199399814330945,3.421848273536913,4.848136497396841,6.2801380299646326,1.2410344719248607,0.8279418656655935,0.9999999965446522,28,35
sub-NDARAF003VCL,ok,,/data/work/st156392/mergedDataset/derivatives/sub-NDARAF003VCL/eeg/sub-NDARAF003VCL_task-freeView_run-1_proc-eyelink_raw.fif,/data/work/st156392/mergedDataset/derivatives/sub-NDARAF003VCL/eeg/sub-NDARAF003VCL_task-freeView_report.h5,/data/work/st156392/mergedDataset/derivatives/sub-NDARAF003VCL/misc/sub-NDARAF003VCL_task-freeView_run-1_proc-eyelink_metrics.json,True,False,False,ValueError: The loaded report has no attribute verbose,True,(?:trialResponse|newPage),# Message: (?:14|20),newPage:4;trialResponse:36,ET_# Message: 14:36;ET_# Message: 20:4,500.0,40,40,True,32.481998,156.166,123.68400199999999,0.9999999976158981,0.000526808471012752,1.3877414463337345,1.049527061940836,6.458268969382175,1.8579213618926538,32,40,0.9999626467455347,0.008198308336837101,4.105961259322477,3.788556964607892,7.843674469704354,4.623718710182472,8,40,2.7182198129887425,2.739029902667056,1.3854055003221788,2.7657973482898184,4.0137926350857,6.458268969382175,1.387235329454839,1.0483260925511217,0.9999999973499869,32,40
sub-NDARAG584XLU,ok,,/data/work/st156392/mergedDataset/derivatives/sub-NDARAG584XLU/eeg/sub-NDARAG584XLU_task-freeView_run-1_proc-eyelink_raw.fif,/data/work/st156392/mergedDataset/derivatives/sub-NDARAG584XLU/eeg/sub-NDARAG584XLU_task-freeView_report.h5,/data/work/st156392/mergedDataset/derivatives/sub-NDARAG584XLU/misc/sub-NDARAG584XLU_task-freeView_run-1_proc-eyelink_metrics.json,True,False,False,ValueError: The loaded report has no attribute verbose,True,(?:trialResponse|newPage),# Message: (?:14|20),newPage:3;trialResponse:22,ET_# Message: 14:22;ET_# Message: 20:3,500.0,25,25,True,44.551998,168.438004,123.88600600000001,0.9999999673498545,0.0008091312072815882,0.5286799614785309,0.5529341929531029,1.1262594963170613,0.6344990187154262,25,25,0.9999923881636801,0.0011291225165024343,0.7090466344661195,0.6973985868796717,1.724832509182761,0.855455185601758,25,25,0.18036667298758857,0.14446439392656885,0.5985730128656996,0.2209561668863318,0.4997195075458194,0.9566316819302756,0.5286334334007847,0.5498781647617079,0.9999999997096725,25,25
sub-NDARAH304ED7,ok,,/data/work/st156392/mergedDataset/derivatives/sub-NDARAH304ED7/eeg/sub-NDARAH304ED7_task-freeView_run-1_proc-eyelink_raw.fif,/data/work/st156392/mergedDataset/derivatives/sub-NDARAH304ED7/eeg/sub-NDARAH304ED7_task-freeView_report.h5,/data/work/st156392/mergedDataset/derivatives/sub-NDARAH304ED7/misc/sub-NDARAH304ED7_task-freeView_run-1_proc-eyelink_metrics.json,True,False,False,ValueError: The loaded report has no attribute verbose,True,(?:trialResponse|newPage),# Message: (?:14|20),newPage:3;trialResponse:17,ET_# Message: 14:17;ET_# Message: 20:3,500.0,20,20,True,95.288002,217.104004,121.816002,0.9999999768543699,-0.0007231137838100387,0.5443760623350613,0.4954768856606506,1.0280913051019525,0.61821133877763,20,20,0.9999947379655426,0.0006544087498951967,0.6054462252258475,0.5377389536960209,1.6841600897947728,0.8173312816111271,20,20,0.06107016289078615,0.04226206803537025,0.6560687846928204,0.1991199428334971,0.4978984343757986,0.878319284652207,0.5439899277632776,0.49401465068399375,0.9999999997239004,20,20
sub-NDARAH503YG1,ok,,/data/work/st156392/mergedDataset/derivatives/sub-NDARAH503YG1/eeg/sub-NDARAH503YG1_task-freeView_run-1_proc-eyelink_raw.fif,/data/work/st156392/mergedDataset/derivatives/sub-NDARAH503YG1/eeg/sub-NDARAH503YG1_task-freeView_report.h5,/data/work/st156392/mergedDataset/derivatives/sub-NDARAH503YG1/misc/sub-NDARAH503YG1_task-freeView_run-1_proc-eyelink_metrics.json,True,False,False,ValueError: The loaded report has no attribute verbose,True,(?:trialResponse|newPage),# Message: (?:14|20),newPage:2;trialResponse:9,ET_# Message: 14:9;ET_# Message: 20:2,500.0,11,11,True,73.024002,200.945999,127.921997,0.999999978835982,-0.0007672717656656074,1.8018996042250344,1.7785242942522927,4.941817246972846,2.1833861970218935,8,11,0.9999830052684372,0.0054140233116442005,3.6287019887530714,4.439465046317537,7.166660540235625,4.293817142152962,3,11,1.826802384528037,2.660940752065244,2.2248432932627793,2.1104309451310685,3.62870198864326,4.941817246972846,1.8026111459231617,1.775910253343227,0.9999999972612504,8,11
sub-NDARAL897CYV,ok,,/data/work/st156392/mergedDataset/derivatives/sub-NDARAL897CYV/eeg/sub-NDARAL897CYV_task-freeView_run-1_proc-eyelink_raw.fif,/data/work/st156392/mergedDataset/derivatives/sub-NDARAL897CYV/eeg/sub-NDARAL897CYV_task-freeView_report.h5,/data/work/st156392/mergedDataset/derivatives/sub-NDARAL897CYV/misc/sub-NDARAL897CYV_task-freeView_run-1_proc-eyelink_metrics.json,True,False,False,ValueError: The loaded report has no attribute verbose,True,(?:trialResponse|newPage),# Message: (?:14|20),newPage:3;trialResponse:18,ET_# Message: 14:18;ET_# Message: 20:3,500.0,21,21,True,101.786003,225.192001,123.40599800000001,0.9999999737639959,-0.0003216468711444025,1.6216822342382133,1.20056013707881,9.281317329154604,2.492443242133948,16,20,0.9999405296329276,0.015010250961253746,5.255815650055443,5.206415309288559,9.815233584760108,6.263459657489237,5,14,3.63413341581723,4.005855172209749,0.5339162556055044,3.771016415355289,5.253026518677946,9.281317329154604,1.6218564552601613,1.1983840593643436,0.9999999959517029,16,20
